product,category,current_stock,unit_cost,unit_price
Basmati Rice 5kg,Staples,298,350,480
Sunflower Oil 1L,Staples,253,120,165
Toor Dal 1kg,Staples,289,90,130
Maggi Noodles Pack,Snacks,293,45,65
Lays Chips Large,Snacks,25,35,55
Amul Milk 1L,Dairy,230,48,58
Amul Butter 500g,Dairy,236,210,265
Britannia Bread,Bakery,291,28,40
Colgate Toothpaste,Personal Care,210,65,95
Dove Soap Pack,Personal Care,195,80,115
Surf Excel 1kg,Household,181,140,190
Harpic Toilet Cleaner,Household,300,75,105
Parle-G Biscuits,Snacks,164,20,30
Tata Tea Gold 1kg,Staples,193,380,470
Fresh Curd 500g (Expiring Item),Dairy,8,25,35
